ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1430122148,2024-07-19T09:23:01.742000,2024-07-19T10:08:56.997000,buy,0.01,0.01,XAUUSDm,2417.112,2411.112,2411.112,,0,0,-6,,,sl
1429685041,2024-07-19T07:06:16.207000,2024-07-19T07:42:13.712000,buy,0.01,0.01,XAUUSDm,2421.8,2413,2413,,0,0,-8.8,,,sl
1427944366,2024-07-18T18:33:59.035000,2024-07-18T19:04:28.298000,buy,0.02,0.02,XAUUSDm,2452.46,2449.771,,,0,0,-5.38,-0.3,,so
1427925497,2024-07-18T18:25:58.072000,2024-07-18T18:31:27.094000,buy,0.02,0.02,XAUUSDm,2453.014,2451,2451,,0,0,-4.03,,,sl
1427668092,2024-07-18T16:37:58.347000,2024-07-18T17:01:52.423000,buy,0.02,0.02,XAUUSDm,2458.019,2455.503,2455.503,,0,0,-5.03,,,sl
1427580356,2024-07-18T16:06:49.315000,2024-07-18T16:16:14.002000,buy,0.02,0.02,XAUUSDm,2458.234,2460.752,2458.269,2467.827,0,0,5.03,,,user
1427493470,2024-07-18T15:44:58.242000,2024-07-18T16:01:13.512000,sell,0.02,0.02,XAUUSDm,2464.097,2459.06,2464.04,,0,0,10.07,,,user
1427211418,2024-07-18T14:47:30.885000,2024-07-18T14:49:02.315000,sell,0.02,0.02,XAUUSDm,2466.368,2465.647,,,0,0,1.45,,,user
1427027404,2024-07-18T14:17:14.573000,2024-07-18T14:23:14.591000,sell,0.02,0.02,XAUUSDm,2464.184,2464.103,2464.103,,0,0,0.16,,,sl
1427006911,2024-07-18T14:13:09.477000,2024-07-18T14:15:55.496000,sell,0.02,0.02,XAUUSDm,2464.401,2464.347,2464.347,,0,0,0.11,,,sl
1426979065,2024-07-18T14:08:20.275000,2024-07-18T14:12:47.140000,sell,0.01,0.01,XAUUSDm,2464.13,2464.022,2464.022,,0,0,0.11,,,sl
1426885280,2024-07-18T13:54:38.228000,2024-07-18T13:58:26.879000,sell,0.01,0.01,XAUUSDm,2461.962,2464.2,2464.2,,0,0,-2.24,,,sl
1426581443,2024-07-18T12:50:03.883000,2024-07-18T13:56:38.987000,sell,0.01,0.01,XAUUSDm,2463.66,2463.495,2463.495,,0,0,0.16,,,sl
1426848736,2024-07-18T13:48:09.126000,2024-07-18T13:54:17.615000,sell,0.01,0.01,XAUUSDm,2462.213,2462.159,2462.159,,0,0,0.05,,,sl
1426731704,2024-07-18T13:30:58.006000,2024-07-18T13:46:58.077000,sell,0.01,0.01,XAUUSDm,2462.314,2462.213,2462.213,,0,0,0.1,,,sl
1426056775,2024-07-18T09:04:17.964000,2024-07-18T12:42:30.767000,buy,0.01,0.01,USDJPYm,156.423,156.312,156.15,,0,0,-0.71,,,user
1425802468,2024-07-18T07:06:25.114000,2024-07-18T12:42:30.758000,buy,0.01,0.01,USDJPYm,156.022,156.312,156.15,,0,0,1.86,,,user
1425729337,2024-07-18T06:36:15.379000,2024-07-18T12:42:30.757000,buy,0.02,0.02,USDJPYm,156.392,156.312,156.15,,0,0,-1.02,,,user
1420420382,2024-07-16T15:10:57.806000,2024-07-16T20:05:12.732000,sell,0.02,0.02,XAUUSDm,2453.523,2469.886,,,0,0,-32.72,-0.03,,so
1419695524,2024-07-16T12:37:03.328000,2024-07-16T12:38:11.638000,sell,0.02,0.02,XAUUSDm,2434.939,2433.721,2434.67,,0,0,2.44,,,user
1419558792,2024-07-16T12:09:09.846000,2024-07-16T12:15:27.458000,sell,0.01,0.01,XAUUSDm,2440.935,2440.596,2443.949,,0,0,0.34,,,user
1419491867,2024-07-16T11:36:29.472000,2024-07-16T11:45:04.894000,sell,0.02,0.02,XAUUSDm,2441.359,2439.722,2443.975,,0,0,3.28,,,user
1419479562,2024-07-16T11:28:42.488000,2024-07-16T11:30:28.242000,sell,0.02,0.02,XAUUSDm,2441.422,2441.034,,,0,0,0.77,,,user
1419323591,2024-07-16T10:16:23.910000,2024-07-16T10:20:58.381000,sell,0.02,0.02,XAUUSDm,2442.554,2441.541,2442.457,,0,0,2.03,,,user
1419319319,2024-07-16T10:14:12.437000,2024-07-16T10:15:35.547000,sell,0.02,0.02,XAUUSDm,2442.606,2442.569,2442.517,,0,0,0.07,,,sl
1419301009,2024-07-16T10:06:41.776000,2024-07-16T10:13:49.723000,sell,0.02,0.02,XAUUSDm,2443.087,2442.943,2442.943,,0,0,0.28,,,sl
1419278467,2024-07-16T09:55:12.722000,2024-07-16T10:05:43.871000,sell,0.02,0.02,XAUUSDm,2442.211,2443.588,2443.588,,0,0,-2.76,,,sl
1418300739,2024-07-16T03:16:57.050000,2024-07-16T04:40:01.164000,sell,0.02,0.02,XAUUSDm,2429.15,2427.327,2427.327,,0,0,3.65,,,sl
1417176378,2024-07-15T15:44:52.481000,2024-07-15T15:49:56.616000,sell,0.02,0.02,XAUUSDm,2434.786,2433.265,,,0,0,3.04,,,user
1417175023,2024-07-15T15:44:10.494000,2024-07-15T15:44:46.257000,buy,0.02,0.02,GBPUSDm,1.29887,1.29864,,,0,0,-0.46,,,user
1390089387,2024-07-03T07:03:54.537000,2024-07-03T07:56:52.599000,sell,0.02,0.02,XAUUSDm,2340.276,2345.873,,,0,0,-11.2,-0.91,,so
1390070530,2024-07-03T06:58:38.571000,2024-07-03T07:56:52.526000,sell,0.02,0.02,XAUUSDm,2340.256,2345.639,,,0,0,-10.77,-0.91,,so
1390039776,2024-07-03T06:53:25.327000,2024-07-03T07:02:52.447000,sell,0.09,0.09,GBPUSDm,1.26853,1.2691,1.2691,,0,0,-5.13,,,sl
1389021869,2024-07-02T16:13:41.175000,2024-07-02T16:23:48.967000,buy,0.02,0.02,XAUUSDm,2322.234,2322.2980000000002,,,0,0,0.13,,,user
