ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1022360038,2024-07-25T03:35:53.057000,2024-07-25T08:35:20.858000,buy,0.01,0.01,USOILm,76.73,76.7,76.7,,0,0,-0.3,,,sl
1021945972,2024-07-25T01:29:01.722000,2024-07-25T01:37:54.112000,buy,0.01,0.01,EURJPYm,165.828,165.709,165.478,,0,0,-0.78,,,user
1021002626,2024-07-24T12:58:26.116000,2024-07-24T13:36:03.582000,buy,0.01,0.01,EURJPYm,167,166.75,166.75,,0,0,-1.63,,,sl
1020953802,2024-07-24T12:31:36.760000,2024-07-24T12:54:36.145000,sell,0.01,0.01,XAUUSDm,2417.955,2420.955,2420.955,,0,0,-3,,,sl
1020590153,2024-07-24T07:37:24.557000,2024-07-24T12:17:53.931000,buy,0.01,0.01,USOILm,76.976,77.5,77.5,,0,0,5.24,,,sl
1020682346,2024-07-24T08:37:31.891000,2024-07-24T12:17:53.930000,buy,0.01,0.01,USOILm,77.342,77.5,77.5,,0,0,1.58,,,sl
1020886462,2024-07-24T11:39:35.625000,2024-07-24T11:48:17.356000,buy,0.01,0.01,EURJPYm,167.288,167.088,167.088,,0,0,-1.3,,,sl
1020562694,2024-07-24T07:08:01.792000,2024-07-24T07:30:00.146000,buy,0.01,0.01,EURUSDm,1.08456,1.0846,1.0846,,0,0,0.04,,,sl
1020451993,2024-07-24T05:10:38.878000,2024-07-24T07:00:34.220000,buy,0.01,0.01,USOILm,76.938,76.95,76.95,,0,0,0.12,,,sl
1019242356,2024-07-23T12:40:44.880000,2024-07-23T14:53:50.442000,buy,0.01,0.01,EURJPYm,169.491,169.176,,,0,0,-2.02,-0.27,,so
1019118611,2024-07-23T11:25:58.586000,2024-07-23T14:53:50.441000,buy,0.02,0.02,EURJPYm,169.614,169.176,,,0,0,-5.62,-0.27,,so
1019017903,2024-07-23T10:15:19.067000,2024-07-23T11:17:04.298000,sell,0.01,0.01,XAUUSDm,2407.663,2409.663,2409.663,,0,0,-2,,,sl
1018990885,2024-07-23T09:56:06.971000,2024-07-23T10:12:46.015000,sell,0.01,0.01,XAUUSDm,2407.608,2407.5,2407.5,,0,0,0.11,,,sl
1018919376,2024-07-23T09:14:19.155000,2024-07-23T09:42:33.188000,sell,0.01,0.01,XAUUSDm,2406.677,2406.5,2406.5,2381.727,0,0,0.18,,,sl
1018705148,2024-07-23T07:41:57.691000,2024-07-23T07:48:11.067000,buy,0.01,0.01,EURJPYm,170.069,169.819,169.819,,0,0,-1.6,,,sl
1016908687,2024-07-22T11:56:06.556000,2024-07-22T12:14:45.568000,buy,0.01,0.01,USOILm,78.074,77.874,77.874,,0,0,-2,,,sl
1016765144,2024-07-22T10:24:14.612000,2024-07-22T11:21:58.944000,buy,0.01,0.01,USOILm,78.223,78.023,78.023,,0,0,-2,,,sl
